timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193977.350847,-2.299811,0.572449,11.559097,-0.034076,0.980779,-0.007074,-0.191991,222,0
1772193979.275815,-3.013041,0.556170,9.097549,-0.051135,0.980272,-0.016200,-0.190236,229,0
1772193978.450835,-2.548764,0.580991,10.090981,-0.049700,0.974962,-0.011959,-0.216415,226,0
1772193981.420832,-4.025908,0.611577,6.058637,-0.049876,0.983222,0.002319,-0.175449,240,0
1772193979.000837,-2.872659,0.598688,9.392499,-0.035623,0.971825,-0.001577,-0.232992,228,0
1772193979.770832,-3.267615,0.566647,8.425759,-0.059896,0.974801,-0.006401,-0.214788,231,0
1772193979.550826,-3.140896,0.593986,8.732311,-0.060745,0.980860,-0.004126,-0.184951,230,0
1772193981.090831,-3.893767,0.574851,6.530206,-0.056274,0.975599,0.002318,-0.212214,238,0
1772193980.925837,-3.826978,0.591502,6.757998,-0.072190,0.977558,0.004724,-0.197858,237,0
1772193980.210786,-3.494388,0.603959,7.814853,-0.035748,0.971973,-0.005047,-0.232304,233,0
1772193980.760835,-3.731692,0.588529,7.013340,-0.078989,0.981791,-0.008247,-0.172566,236,0
1772193981.255837,-3.968653,0.595827,6.298896,-0.056096,0.977339,0.000812,-0.204110,239,0
1772193980.595823,-3.649391,0.561794,7.257637,-0.069192,0.982083,-0.005329,-0.175204,235,0
1772193980.430858,-3.591632,0.574202,7.488338,-0.041625,0.978052,0.003535,-0.204128,234,0
1772193981.915838,-4.070969,0.573532,5.412371,-0.064412,0.997775,-0.006114,-0.016056,243,0
1772193981.750821,-4.062388,0.568652,5.621282,-0.061112,0.996273,-0.003573,-0.060763,242,0
1772193981.530812,-4.047177,0.604796,5.901012,-0.045112,0.989314,0.011143,-0.138196,241,0
1772193982.905837,-4.009071,0.589711,4.339081,-0.060765,0.956176,0.003946,0.286389,251,0
1772193983.455833,-3.706722,0.639626,3.855989,-0.060745,0.905088,0.005560,0.420826,256,0
1772193983.345834,-3.783630,0.644995,3.959645,-0.054892,0.911622,0.003642,0.407332,255,0
1772193982.300829,-4.084729,0.570969,4.937405,-0.065931,0.996943,-0.009470,0.040836,246,0
1772193982.465816,-4.076093,0.573806,4.763566,-0.056164,0.994969,-0.008260,0.082544,247,0
1772193982.080820,-4.085746,0.584969,5.191501,-0.076820,0.996969,-0.005372,0.011035,244,0
1772193982.685821,-4.057717,0.609481,4.530530,-0.054179,0.983468,0.001471,0.172779,249,0
1772193985.050804,-2.050413,0.801847,2.996064,-0.037612,0.704980,0.017152,0.708021,270,0
1772193984.665812,-2.517317,0.777423,3.091368,-0.047727,0.758223,0.016281,0.650043,267,0
1772193984.555841,-2.656014,0.760342,3.125220,-0.033707,0.768596,0.016311,0.638638,266,0
1772193982.575817,-4.068762,0.601759,4.642558,-0.055983,0.991129,-0.002036,0.120523,248,0
1772193982.190822,-4.085174,0.580512,5.061171,-0.075608,0.996835,-0.001404,0.024504,245,0
1772193983.565814,-3.624896,0.632618,3.752751,-0.055527,0.896124,-0.006528,0.440268,257,0
1772193983.125808,-3.920532,0.605534,4.166365,-0.049314,0.930068,0.004257,0.364039,253,0
1772193983.015815,-3.972005,0.586954,4.252099,-0.057293,0.941706,0.004773,0.331490,252,0
1772193983.235814,-3.853486,0.630690,4.063231,-0.051325,0.920825,0.010592,0.386438,254,0
1772193983.895811,-3.338783,0.677995,3.482082,-0.037331,0.868899,0.008812,0.493501,260,0
1772193984.445809,-2.783136,0.735624,3.172428,-0.032271,0.782623,0.022647,0.621247,265,0
1772193984.115822,-3.131860,0.678898,3.334972,-0.025758,0.836416,0.025006,0.546919,262,0
1772193982.795831,-4.043245,0.605335,4.424877,-0.062858,0.971401,0.014591,0.228510,250,0
1772193983.675839,-3.536420,0.636334,3.664272,-0.044754,0.890419,-0.004637,0.452913,258,0
1772193983.785840,-3.442747,0.655084,3.570935,-0.043265,0.880968,0.005423,0.471163,259,0
1772193984.335815,-2.905208,0.701548,3.216929,-0.023128,0.799991,0.015146,0.599375,264,0
1772193984.775810,-2.381141,0.773892,3.053601,-0.040725,0.746564,0.017805,0.663827,268,0
1772193984.005828,-3.244035,0.684173,3.404034,-0.027819,0.852160,0.017626,0.522244,261,0
1772193984.225814,-3.020006,0.683424,3.272956,-0.023849,0.819033,0.024086,0.572745,263,0
1772193985.765810,-1.276296,0.890436,3.059844,-0.028904,0.547467,0.035192,0.835587,275,0
1772193985.655823,-1.399990,0.866607,3.035653,-0.029782,0.557746,0.037385,0.828635,274,0
1772193984.885817,-2.245171,0.776355,3.024188,-0.042209,0.736432,0.018655,0.674935,269,0
1772193985.380804,-1.680845,0.842727,2.993005,-0.034316,0.617210,0.039347,0.785064,272,0
1772193986.315848,-0.681959,0.942567,3.231071,-0.033659,0.517802,0.025521,0.854457,279,0
1772193985.490804,-1.564209,0.849072,3.006727,-0.038050,0.589879,0.036561,0.805766,273,0
1772193985.215799,-1.862053,0.835282,2.983178,-0.030072,0.661826,0.024926,0.748639,271,0
1772193986.920811,-0.124546,1.020719,3.486757,-0.029786,0.458275,0.047526,0.887039,283,0
1772193985.985821,-1.034080,0.917922,3.123404,-0.046603,0.540900,0.030252,0.839250,277,0
